iter	Logloss
0	0.5905420786
1	0.5051763211
2	0.4362323998
3	0.3817633798
4	0.3613611522
5	0.3192671135
6	0.2890574316
7	0.2621042792
8	0.2360423593
9	0.2149022123
10	0.1981733362
11	0.1923726796
12	0.1807086648
13	0.179977071
14	0.1684958198
15	0.1634057838
16	0.1547661798
17	0.1508488515
18	0.1407940105
19	0.1368286381
20	0.1339054194
21	0.1277757935
22	0.1226482349
23	0.12179103
24	0.1191968809
25	0.1179284093
26	0.1102519733
27	0.1056875886
28	0.1039283207
29	0.1020645295
30	0.09909585963
31	0.09588754139
32	0.09303468532
33	0.08359676066
34	0.07856695118
35	0.07629634976
36	0.07440735171
37	0.07124911663
38	0.07048332319
39	0.06532950822
40	0.06452376661
41	0.06236750303
42	0.06148573312
43	0.05990856009
44	0.05803469765
45	0.0550447154
46	0.05416099606
47	0.05067557584
48	0.05022302313
49	0.04965509166
50	0.04862580918
51	0.04632808909
52	0.04550790667
53	0.04482572564
54	0.04349175701
55	0.04112556681
56	0.04056958685
57	0.03988403499
58	0.03970940409
59	0.03826772108
60	0.03693041628
61	0.03577297215
62	0.03462283734
63	0.03219879764
64	0.03178900342
65	0.03122617582
66	0.02978506196
67	0.02898895813
68	0.0278360542
69	0.02693040098
70	0.02496101366
71	0.02360629187
72	0.02166695109
73	0.02081788334
74	0.02007449155
75	0.01954778375
76	0.01920424152
77	0.01763225833
78	0.01725843785
79	0.01677854741
80	0.01645737636
81	0.01619998325
82	0.01613849016
83	0.01554134775
84	0.0152350788
85	0.01464461725
86	0.01438029438
87	0.01429937784
88	0.01404210919
89	0.0131802832
90	0.01285519599
91	0.01238113371
92	0.01233209087
93	0.01202533916
94	0.01181460269
95	0.01161937108
96	0.01122523503
97	0.0110380356
98	0.0105720286
99	0.009966342373
100	0.009612961109
101	0.009499522885
102	0.00914063938
103	0.008971805214
104	0.008756770502
105	0.008484065266
106	0.008384749051
107	0.008150639867
108	0.008038402823
109	0.007797891384
110	0.007447860161
111	0.007288402243
112	0.00722324112
113	0.007081831549
114	0.00699161393
115	0.006844627703
116	0.006597852876
117	0.006400018313
118	0.006292506681
119	0.006180486974
120	0.005976887774
121	0.005929989278
122	0.005713198511
123	0.005686847274
124	0.005531443095
125	0.005372827511
126	0.005233403448
127	0.00497992873
128	0.004822474225
129	0.004676595166
130	0.004546087841
131	0.004432076819
132	0.004402010521
133	0.004367745285
134	0.00434469118
135	0.004260285831
136	0.004168510845
137	0.004050069828
138	0.003913999713
139	0.003828737562
140	0.003693905053
141	0.003656451568
142	0.003611770354
143	0.003578292783
144	0.003456904436
145	0.003416718059
146	0.003388246932
147	0.003330411723
148	0.003293547508
149	0.003220665794
150	0.003180402135
151	0.003164917042
152	0.00313632782
153	0.00306776429
154	0.002959232476
155	0.002911512619
156	0.002835186634
157	0.002798229429
158	0.002762911032
159	0.002719672388
160	0.002646914012
161	0.002595873356
162	0.002561453608
163	0.002508357946
164	0.002469796617
165	0.002455753881
166	0.002395166284
167	0.002338284473
168	0.002323359576
169	0.002280301559
170	0.002239322223
171	0.002213825834
172	0.002188843422
173	0.002188843422
174	0.002147123939
175	0.002118210351
176	0.002087686539
177	0.002053561322
178	0.002027846827
179	0.001996536307
180	0.001948192728
181	0.001937849837
182	0.001894555571
183	0.001845724471
184	0.001845715099
185	0.001788281382
186	0.001726858922
