iter	Logloss
0	0.6681570196
1	0.6449895572
2	0.6251070874
3	0.6049158223
4	0.5822675419
5	0.5691227496
6	0.5506858725
7	0.5307977948
8	0.5126285229
9	0.5001880702
10	0.4872384392
11	0.4711383545
12	0.4571863272
13	0.4452206612
14	0.4347294649
15	0.4246101717
16	0.4155344029
17	0.40560945
18	0.3957804902
19	0.3895363949
20	0.3788793586
21	0.3716161561
22	0.3627319024
23	0.3549392597
24	0.3463269207
25	0.3420325713
26	0.3336717666
27	0.3276862131
28	0.3224513021
29	0.3187304993
30	0.3178932513
31	0.3146592669
32	0.3099679448
33	0.3050443304
34	0.2994388779
35	0.2938027385
36	0.2854647475
37	0.2814857155
38	0.2775179756
39	0.2725479211
40	0.2668358275
41	0.2620644663
42	0.2606615014
43	0.2561987379
44	0.2536518589
45	0.2492029702
46	0.2467896241
47	0.2425714523
48	0.2401788066
49	0.234885429
50	0.2327864215
51	0.2289125887
52	0.2263390547
53	0.2240791371
54	0.2214377712
55	0.2194604653
56	0.217010264
57	0.2143053627
58	0.211068667
59	0.2092075846
60	0.207365266
61	0.2044658847
62	0.2024696048
63	0.1994468659
64	0.1974055526
65	0.1955196611
66	0.1923144232
67	0.1901262975
68	0.1870033116
69	0.1852048538
70	0.1847281368
71	0.1830737179
72	0.1805393403
73	0.178153773
74	0.1756167417
75	0.1742855391
76	0.1715422812
77	0.1702501701
78	0.1696614498
79	0.169362246
80	0.1675747515
81	0.16579327
82	0.1641576796
83	0.1633470813
84	0.1611225357
85	0.1594015471
86	0.1585312397
87	0.1580957369
88	0.1569999247
89	0.1561323682
90	0.1560870028
91	0.1546485828
92	0.154008818
93	0.1531891423
94	0.1523725912
95	0.1518406884
96	0.1508070737
97	0.1504678796
98	0.1496205689
99	0.1481684562
