iter	Logloss
0	0.6728613036
1	0.6534818382
2	0.6343088078
3	0.6175079463
4	0.6017937531
5	0.5854213558
6	0.570377133
7	0.5512360694
8	0.531543042
9	0.5192103573
10	0.510161245
11	0.5017830388
12	0.4961018383
13	0.483567
14	0.4733500785
15	0.4636701585
16	0.4518460584
17	0.4411726531
18	0.4315580527
19	0.4247787254
20	0.4156058845
21	0.4084263105
22	0.4044867729
23	0.3960664773
24	0.3920759976
25	0.383730192
26	0.3764103202
27	0.3708275236
28	0.3596822042
29	0.3533863352
30	0.3471314538
31	0.3424109197
32	0.3353368222
33	0.327911304
34	0.3237610606
35	0.3178702506
36	0.3121400714
37	0.3049865674
38	0.2994203366
39	0.295908724
40	0.2905928215
41	0.2844776774
42	0.2829643915
43	0.2775066244
44	0.2722759296
45	0.2692118503
46	0.2652723729
47	0.2601621924
48	0.255183403
49	0.2538031937
50	0.2528037586
51	0.2489575184
52	0.2450021541
53	0.2433673475
54	0.2420533151
55	0.2403770013
56	0.2375327927
57	0.233177593
58	0.2313449965
59	0.2297551495
60	0.2268876905
61	0.2266474907
62	0.2241072549
63	0.2214003916
64	0.220791007
65	0.2177071107
66	0.2153005825
67	0.2133330405
68	0.2114719093
69	0.2088494905
70	0.2064149769
71	0.2062287466
72	0.2053027127
73	0.2042560426
74	0.202590112
75	0.199610432
76	0.1976910305
77	0.195485838
78	0.1948593363
79	0.193327392
80	0.1921672591
81	0.189338758
82	0.1883859283
83	0.1863438733
84	0.185083588
85	0.1843952796
86	0.1824907172
87	0.1809482149
88	0.1799056656
89	0.1787051784
90	0.1766886553
91	0.175056808
92	0.1746603266
93	0.1725958666
94	0.1715330178
95	0.1705218831
96	0.1703914332
97	0.1680222366
98	0.1673821115
99	0.1656523285
