iter	Logloss
0	0.6759804827
1	0.6548343746
2	0.638142287
3	0.6211340029
4	0.6084543419
5	0.594683474
6	0.5797990617
7	0.5656126071
8	0.5494579677
9	0.5331427494
10	0.5178984805
11	0.5111738509
12	0.4971668169
13	0.4849231368
14	0.4752745354
15	0.4683280109
16	0.4585757844
17	0.4487244613
18	0.4418511684
19	0.4309056298
20	0.4236002784
21	0.4167377589
22	0.4100217514
23	0.4053697801
24	0.3953527209
25	0.3866155489
26	0.378284423
27	0.3704528389
28	0.3638837818
29	0.3578847686
30	0.3518591271
31	0.3477004384
32	0.3408306245
33	0.3352099708
34	0.3308281563
35	0.3262516517
36	0.3254608175
37	0.319994399
38	0.315792072
39	0.3089216636
40	0.3044702993
41	0.3025956883
42	0.2970600589
43	0.2943141659
44	0.2901062705
45	0.2835021237
46	0.2807184647
47	0.2799354971
48	0.277815972
49	0.2731809855
50	0.2717904282
51	0.2685866073
52	0.2643487127
53	0.2627181712
54	0.2591170906
55	0.2558472312
56	0.2546219802
57	0.2520984348
58	0.2505256535
59	0.2485809041
60	0.2449657653
61	0.2433873968
62	0.2404960117
63	0.2383010058
64	0.2363442918
65	0.2333159341
66	0.2325013818
67	0.2302562981
68	0.2272085542
69	0.2249242683
70	0.2212476008
71	0.2185750217
72	0.2158886821
73	0.2153433579
74	0.2121092842
75	0.2099936383
76	0.2074687257
77	0.2058241044
78	0.2028423032
79	0.200428782
80	0.1991296725
81	0.1972485322
82	0.1960026644
83	0.1939359801
84	0.1929828468
85	0.1924779319
86	0.1901699614
87	0.188735494
88	0.1869716211
89	0.1860071513
90	0.1854045613
91	0.1843306951
92	0.1841350507
93	0.1826305403
94	0.1793427564
95	0.178769298
96	0.177255023
97	0.1754780367
98	0.1748202088
99	0.1746407886
